STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,TOTAL IPC CRIMES
MAHARASHTRA,THANE RURAL,2008,147,39,7,134,5792
MAHARASHTRA,WARDHA,2008,36,27,5,116,4369
MAHARASHTRA,WASHIM,2008,30,29,2,110,2222
MAHARASHTRA,YAVATMAL,2008,74,55,6,171,4899
MAHARASHTRA,TOTAL,2008,2795,1837,390,7829,206243


MAHARASHTRA,AHMEDNAGAR,2009,81,75,0,557,6530
MAHARASHTRA,AKOLA,2009,43,68,10,131,4227
MAHARASHTRA,AMRAVATI COMMR.,2009,16,26,0,99,2629
MAHARASHTRA,AMRAVATI RURAL,2009,75,37,1,149,4209
MAHARASHTRA,AURANGABAD COMMR.,2009,37,46,5,159,3727
MAHARASHTRA,AURANGABAD RURAL,2009,44,37,28,248,2934
MAHARASHTRA,BEED,2009,80,53,16,389,4338
MAHARASHTRA,BHANDARA,2009,26,8,4,68,2259
MAHARASHTRA,BULDHANA,2009,53,59,27,221,4260
MAHARASHTRA,CHANDRAPUR,2009,49,33,9,158,4483
MAHARASHTRA,DHULE,2009,45,36,7,281,2662
MAHARASHTRA,GADCHIROLI,2009,66,45,1,27,1188
MAHARASHTRA,GONDIA,2009,43,23,3,48,1911
MAHARASHTRA,HINGOLI,2009,50,34,3,106,1667
MAHARASHTRA,JALGAON,2009,75,52,10,423,4737
MAHARASHTRA,JALNA,2009,55,38,25,346,2939
MAHARASHTRA,KOLHAPUR,2009,46,36,18,130,3917
MAHARASHTRA,LATUR,2009,70,36,15,159,3407
MAHARASHTRA,MUMBAI COMMR.,2009,217,160,15,434,31262
MAHARASHTRA,MUMBAI RLY.,2009,7,3,0,0,2347
MAHARASHTRA,NAGPUR COMMR.,2009,95,72,7,232,7785
MAHARASHTRA,NAGPUR RLY.,2009,4,3,0,0,1160
MAHARASHTRA,NAGPUR RURAL,2009,74,36,6,84,3983
MAHARASHTRA,NANDED,2009,102,71,30,346,4991
MAHARASHTRA,NANDURBAR,2009,43,13,1,75,1356
MAHARASHTRA,NASIK COMMR.,2009,41,28,5,131,4218
MAHARASHTRA,NASIK RURAL,2009,73,48,9,290,4840
MAHARASHTRA,NAVI MUMBAI,2009,45,41,6,84,4876
MAHARASHTRA,OSMANABAD,2009,33,23,3,153,2692
MAHARASHTRA,PARBHANI,2009,52,31,7,219,2708
MAHARASHTRA,PUNE COMMR.,2009,119,120,7,235,13848
MAHARASHTRA,PUNE RLY.,2009,3,3,0,0,541
MAHARASHTRA,PUNE RURAL,2009,125,61,9,218,7537
MAHARASHTRA,RAIGAD,2009,31,31,4,30,2053
MAHARASHTRA,RATNAGIRI,2009,24,4,0,51,1477
MAHARASHTRA,SANGLI,2009,67,32,12,66,2777
MAHARASHTRA,SATARA,2009,47,38,4,131,4350
MAHARASHTRA,SINDHUDURG,2009,11,5,1,11,872
MAHARASHTRA,SOLAPUR COMMR.,2009,18,19,0,68,1465
MAHARASHTRA,SOLAPUR RURAL,2009,80,68,5,210,4634
MAHARASHTRA,THANE COMMR.,2009,122,74,12,387,9570
MAHARASHTRA,THANE RURAL,2009,138,47,1,106,5420
MAHARASHTRA,WARDHA,2009,29,28,1,100,4041
MAHARASHTRA,WASHIM,2009,22,22,5,109,2121
MAHARASHTRA,YAVATMAL,2009,77,57,9,212,4650
MAHARASHTRA,TOTAL,2009,2653,1880,341,7681,199598


MAHARASHTRA,AHMEDNAGAR,2010,122,75,10,604,7215
MAHARASHTRA,AKOLA,2010,46,66,12,149,4472
MAHARASHTRA,AMRAVATI COMMR.,2010,11,30,3,96,3079
MAHARASHTRA,AMRAVATI RURAL,2010,64,37,2,135,4574
